Started,County,AcresBurned,Injuries,Fatalities,StructuresDestroyed,StructuresDamaged,PropetyValue Damage,Drought Index,Precipitation,Temperature,Heating Degree Days,Cooling Degree Days
201909,Monterey,66.0,0.0,0.0,0.0,0.0,0.0,-0.16,0.61,68.9,23,155
201905,Placer,65.0,0.0,0.0,0.0,0.0,0.0,2.76,2.5,58.6,240,14
201907,Napa,64.0,0.0,0.0,0.0,0.0,0.0,-0.09,0.08,75.5,3,244
201910,Glenn,63.0,0.0,0.0,0.0,0.0,0.0,-0.8,0.16,58.8,141,36
201905,Tehama,63.0,0.0,0.0,0.0,0.0,0.0,2.76,2.5,58.6,240,14
201910,Sanmateo,62.0,0.0,0.0,0.0,0.0,0.0,-0.8,0.16,58.8,141,36
201908,Santaclara,95.0,0.0,0.0,0.0,0.0,0.0,-0.34,0.13,76.8,0,284
201910,Lassen,55.0,0.0,0.0,0.0,0.0,0.0,-0.8,0.16,58.8,141,36
201909,Lake,81.0,0.0,0.0,1.0,0.0,270000.0,-0.16,0.61,68.9,23,155
201906,Napa,50.0,0.0,0.0,0.0,0.0,0.0,2.97,0.09,71.1,32,134
201905,Butte,50.0,0.0,0.0,0.0,0.0,0.0,2.76,2.5,58.6,240,14
201906,Tehama,46.0,0.0,0.0,0.0,0.0,0.0,2.97,0.09,71.1,32,134
201909,Sanjoaquin,44.0,0.0,0.0,0.0,0.0,0.0,-0.16,0.61,68.9,23,155
201910,Shasta,42.0,0.0,0.0,0.0,0.0,0.0,-0.8,0.16,58.8,141,36
201907,Yuba,38.0,0.0,0.0,0.0,0.0,0.0,-0.09,0.08,75.5,3,244
201908,Eldorado,51.0,0.0,0.0,0.0,0.0,0.0,-0.34,0.13,76.8,0,284
201908,Yolo,33.0,0.0,0.0,0.0,0.0,0.0,-0.34,0.13,76.8,0,284
201909,Solano,30.0,0.0,0.0,0.0,0.0,0.0,-0.16,0.61,68.9,23,155
201906,Alameda,30.0,0.0,0.0,0.0,0.0,0.0,2.97,0.09,71.1,32,134
201904,Riverside,30.0,0.0,0.0,0.0,0.0,0.0,1.67,1.22,58.2,215,22
