Started,County,AcresBurned,Injuries,Fatalities,StructuresDestroyed,StructuresDamaged,PropetyValue Damage,Drought Index,Precipitation,Temperature,Heating Degree Days,Cooling Degree Days
201606,Mono,650.0,0.0,0.0,0.0,0.0,0.0,0.86,0.6,60.9,156,34
201608,Humboldt,643.0,0.0,0.0,3.0,0.0,870000.0,-2.3,0.01,68.4,0,111
201608,Butte,638.0,0.0,0.0,0.0,0.0,0.0,-2.23,0.0,76.2,0,348
201606,Tehama,587.0,0.0,0.0,0.0,0.0,0.0,1.13,1.21,72.8,11,244
201608,Calaveras,450.0,0.0,0.0,0.0,0.0,0.0,-1.25,0.0,75.8,0,334
201607,Shasta,441.0,1.0,0.0,1.0,0.0,229450.0,-0.02,0.01,74.0,0,285
201608,Yuba,400.0,0.0,0.0,0.0,0.0,0.0,-2.34,0.0,77.2,0,379
201608,Tulare,395.0,0.0,0.0,0.0,0.0,0.0,-2.36,0.03,72.1,7,228
201606,Amador,582.0,0.0,0.0,0.0,0.0,0.0,-1.11,0.01,72.3,13,233
201609,Tehama,360.0,0.0,0.0,0.0,0.0,0.0,0.08,0.02,71.3,13,201
201607,Calaveras,743.0,0.0,0.0,0.0,0.0,0.0,-1.1,0.0,75.9,0,337
201609,Kern,306.0,0.0,0.0,0.0,0.0,0.0,-4.25,0.0,73.0,6,245
201609,Sutter,300.0,0.0,0.0,0.0,0.0,0.0,-2.66,0.0,74.3,0,280
201605,Fresno,410.0,0.0,0.0,0.0,0.0,0.0,-0.47,0.64,59.5,202,32
201606,Yolo,277.0,0.0,0.0,0.0,0.0,0.0,-0.66,0.01,75.7,0,322
201609,Plumas,248.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.08,59.7,175,17
201606,Sanbenito,350.0,0.0,0.0,2.0,0.0,1023000.0,-0.17,0.0,72.0,6,217
201606,Lake,215.0,0.0,0.0,0.0,0.0,0.0,-0.92,0.26,69.4,20,153
201606,Alameda,211.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,69.4,14,146
201610,Eldorado,176.0,0.0,0.0,0.0,0.0,0.0,2.5,10.29,54.3,337,7
201607,Riverside,173.0,0.0,0.0,0.0,0.0,0.0,-3.97,0.04,88.3,0,722
201605,Placer,169.0,0.0,0.0,0.0,0.0,0.0,-0.05,2.18,57.3,259,20
201609,Fresno,228.0,0.0,0.0,0.0,0.0,0.0,-1.18,0.07,66.7,45,96
201605,Losangeles,156.0,0.0,0.0,0.0,0.0,0.0,-5.18,0.31,62.5,129,53
201604,Fresno,151.0,0.0,0.0,0.0,0.0,0.0,-0.57,1.94,54.6,324,12
201609,Delnorte,150.0,0.0,0.0,0.0,0.0,0.0,-3.62,0.06,61.8,111,14
201608,Orange,150.0,0.0,0.0,0.0,0.0,0.0,-6.12,0.0,74.4,0,292
201608,Sanjoaquin,147.0,0.0,0.0,0.0,0.0,0.0,1.08,0.0,75.2,0,316
201608,Stanislaus,240.0,0.0,0.0,0.0,0.0,0.0,1.55,0.0,76.7,0,362
201606,Riverside,139.0,1.0,0.0,0.0,0.0,0.0,-3.93,0.0,85.1,0,602
201606,Stanislaus,120.0,0.0,0.0,0.0,0.0,0.0,2.38,0.0,75.7,0,320
201607,Santaclara,114.0,0.0,0.0,0.0,0.0,0.0,0.77,0.01,70.8,0,184
201606,Butte,161.0,0.0,0.0,0.0,0.0,0.0,-1.99,0.52,73.2,10,256
201607,Madera,221.0,0.0,0.0,0.0,0.0,0.0,-0.69,0.02,74.8,0,303
201609,Shasta,175.0,0.0,0.0,0.0,0.0,0.0,-0.81,0.01,68.1,38,131
201608,Santaclara,125.0,0.0,0.0,0.0,0.0,0.0,0.47,0.02,71.0,0,187
201607,Sanbenito,95.0,0.0,0.0,0.0,0.0,0.0,-0.51,0.0,74.2,0,284
201605,Butte,121.0,0.0,0.0,0.0,0.0,0.0,-1.89,0.99,65.1,99,101
201607,Tehama,99.0,0.0,0.0,0.0,0.0,0.0,0.91,0.01,76.8,0,366
201607,Sacramento,87.0,0.0,0.0,0.0,0.0,0.0,-2.19,0.0,77.7,0,394
201606,Sanluisobispo,86.0,0.0,0.0,0.0,0.0,0.0,-4.71,0.0,71.8,0,210
201608,Madera,85.0,0.0,0.0,0.0,0.0,0.0,-0.91,0.01,73.8,0,276
201605,Tuolumne,85.0,0.0,0.0,0.0,0.0,0.0,-0.34,1.43,52.2,403,6
201607,Yolo,84.0,0.0,0.0,0.0,0.0,0.0,-1.03,0.0,77.4,0,385
201606,Calaveras,116.0,1.0,0.0,2.0,1.0,787500.0,-0.66,0.01,72.1,14,229
201608,Tehama,80.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,77.0,0,373
201607,Ventura,138.0,0.0,0.0,0.0,0.0,0.0,-5.81,0.0,71.7,5,213
201605,Sandiego,70.0,3.0,0.0,7.0,0.0,3955000.0,-3.97,0.5,62.5,125,48
201607,Lake,94.0,0.0,0.0,0.0,0.0,0.0,-1.28,0.0,73.8,0,275
201610,Napa,65.0,0.0,0.0,0.0,0.0,0.0,1.7,5.39,60.4,156,14
201607,Solano,57.0,0.0,0.0,0.0,0.0,0.0,-0.78,0.0,73.5,0,263
201605,Siskiyou,56.0,0.0,0.0,0.0,0.0,0.0,-0.6,1.56,53.9,351,6
201609,Mendocino,50.0,0.0,0.0,0.0,0.0,0.0,-1.54,0.02,65.5,44,58
201609,Sanbernardino,70.0,0.0,0.0,0.0,0.0,0.0,-3.3,0.18,77.3,0,370
201607,Eldorado,50.0,0.0,0.0,0.0,0.0,0.0,-0.89,0.0,71.8,10,222
201604,Ventura,50.0,0.0,0.0,0.0,0.0,0.0,-5.1,0.56,56.2,272,8
201609,Nevada,85.0,0.0,0.0,0.0,0.0,0.0,-1.44,0.04,63.8,97,60
201606,Orange,47.0,0.0,0.0,0.0,0.0,0.0,-6.33,0.02,71.4,7,198
201609,Amador,45.0,0.0,0.0,0.0,0.0,0.0,-1.94,0.05,69.2,22,148
201605,Kern,43.0,0.0,0.0,0.0,0.0,0.0,-4.08,0.3,66.2,82,118
201607,Lassen,42.0,0.0,0.0,0.0,0.0,0.0,-0.44,0.02,67.0,46,109
201609,Sacramento,40.0,0.0,0.0,0.0,0.0,0.0,-2.25,0.0,72.9,0,241
201607,Contracosta,40.0,0.0,0.0,0.0,0.0,0.0,-0.39,0.0,72.2,0,225
201608,Mendocino,36.0,0.0,0.0,0.0,0.0,0.0,-1.2,0.01,69.3,0,138
201608,Sandiego,35.0,0.0,0.0,0.0,0.0,0.0,-4.64,0.0,77.6,0,392
201608,Shasta,35.0,0.0,0.0,0.0,0.0,0.0,-0.32,0.01,75.2,0,316
201607,Butte,35.0,0.0,0.0,0.0,0.0,0.0,-2.22,0.0,76.9,0,368
201609,Siskiyou,32.0,0.0,0.0,0.0,0.0,0.0,-1.63,0.08,60.1,169,23
201607,Tuolumne,32.0,0.0,0.0,0.0,0.0,0.0,-0.94,0.04,68.6,28,140
201606,Sacramento,32.0,0.0,0.0,0.0,0.0,0.0,-1.91,0.0,76.0,0,330
201607,Inyo,30.0,0.0,0.0,0.0,0.0,0.0,-3.48,0.11,84.1,0,592
201604,Merced,30.0,0.0,0.0,0.0,0.0,0.0,1.87,1.79,62.9,123,60
201611,Sandiego,28.0,0.0,0.0,0.0,0.0,0.0,-3.6,1.17,60.8,151,25
201608,Amador,45.0,0.0,0.0,0.0,0.0,0.0,-1.71,0.02,75.7,0,331
201607,Siskiyou,49.0,0.0,0.0,0.0,0.0,0.0,-0.84,0.2,67.0,47,110
201608,Eldorado,25.0,0.0,0.0,0.0,0.0,0.0,-1.14,0.05,72.2,9,232
201606,Shasta,24.0,0.0,0.0,0.0,0.0,0.0,0.39,1.67,69.0,32,153
201605,Ventura,20.0,0.0,0.0,0.0,0.0,0.0,-5.22,0.31,57.6,238,9
201605,Shasta,11.0,0.0,0.0,0.0,0.0,0.0,0.05,2.2,60.1,191,39
201608,Alpine,0.0,0.0,0.0,0.0,0.0,0.0,-1.74,0.12,62.7,116,46
201606,Tulare,0.0,0.0,0.0,0.0,0.0,0.0,-1.99,0.15,69.9,25,171
201604,Losangeles,0.0,0.0,0.0,0.0,0.0,0.0,-4.86,0.43,60.8,167,42
201712,Santabarbara,281921.0,0.0,0.0,1063.0,280.0,878190000.0,-3.63,0.02,53.6,352,0
201712,Ventura,281893.0,0.0,0.0,1063.0,280.0,775935000.0,-4.5,0.01,52.8,380,0
201707,Lassen,83733.0,0.0,0.0,0.0,0.0,0.0,-1.4,0.16,70.0,18,174
201707,Modoc,83545.0,0.0,0.0,0.0,0.0,0.0,-1.08,0.42,70.5,17,187
201707,Mariposa,82087.0,0.0,0.0,131.0,22.0,37275000.0,-1.02,0.0,76.4,0,353
201708,Siskiyou,121759.0,0.0,0.0,0.0,0.0,0.0,-1.71,0.46,71.7,9,215
201710,Napa,144987.0,0.0,31.0,7111.0,1272.0,5027803000.0,-1.6,0.21,64.3,76,55
201710,Sonoma,114368.0,0.0,25.0,6997.0,491.0,4671412500.0,-1.9,0.44,62.9,92,26
201710,Solano,51724.0,0.0,6.0,120.0,783.0,212272500.0,-1.02,0.17,64.8,66,61
201707,Kings,48889.0,0.0,0.0,1.0,0.0,222000.0,-0.2,0.0,84.8,0,613
201708,Tulare,38851.0,5.0,0.0,2.0,0.0,449800.0,-0.73,0.33,73.9,0,280
201710,Mendocino,36523.0,1.0,9.0,546.0,44.0,230040000.0,-2.48,0.86,59.2,186,7
201707,Sanluisobispo,31098.0,0.0,0.0,0.0,1.0,450000.0,-0.44,0.0,76.0,0,340
201707,Siskiyou,27900.0,0.0,0.0,0.0,0.0,0.0,-1.47,0.06,71.0,13,200
201708,Trinity,26646.0,0.0,0.0,0.0,0.0,0.0,-1.68,0.25,74.8,0,304
201709,Tulare,18900.0,0.0,0.0,0.0,0.0,0.0,-0.53,0.58,65.1,68,72
201708,Lassen,26206.0,0.0,0.0,0.0,0.0,0.0,-1.23,0.79,70.1,17,176
201707,Santabarbara,18480.0,0.0,0.0,0.0,0.0,0.0,-1.76,0.01,71.9,0,217
201706,Tulare,16505.0,6.0,0.0,0.0,0.0,0.0,-0.37,0.14,68.7,35,146
201712,Losangeles,22090.0,0.0,0.0,43.0,29.0,33217175.0,-4.18,0.01,55.1,313,6
201709,Trinity,13417.0,0.0,0.0,0.0,0.0,0.0,-1.71,0.85,65.7,61,82
201708,Madera,12407.0,0.0,0.0,0.0,0.0,0.0,-0.64,0.44,75.8,0,336
201705,Fresno,10847.0,0.0,0.0,0.0,0.0,0.0,0.42,0.51,60.2,186,38
201710,Yuba,9989.0,0.0,4.0,264.0,10.0,73154550.0,-1.85,0.6,64.0,102,69
201710,Orange,9217.0,4.0,0.0,25.0,55.0,41265000.0,-2.01,0.0,71.8,6,218
201708,Mono,8925.0,0.0,0.0,0.0,0.0,0.0,-0.57,0.91,64.2,78,54
